date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:01	1635/1635	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Jul%202021%2021:11:38%20GMT	http://focuscarelink.co.uk/robots.txt		(from )
22:12:01	3507/3507	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:11:39%20GMT	http://focuscarelink.co.uk/	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/index.html	(from )
22:12:01	15638/15638	---M--	200	added ('OK')	text/css	etag:%22bb461c76b14ecf1:7490c%22	http://focuscarelink.co.uk/style.css	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/style.css	(from http://focuscarelink.co.uk/)
22:12:02	1909/1909	---M--	200	added ('OK')	application/x-javascript	etag:%2287a6baa9f4dcf1:7490c%22	http://focuscarelink.co.uk/layout_inc/jquery.cookie.js	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/layout_inc/jquery.cookie.js	(from http://focuscarelink.co.uk/)
22:12:02	367/367	---M--	200	added ('OK')	application/x-javascript	etag:%22811b2a8f4dcf1:7490c%22	http://focuscarelink.co.uk/layout_inc/fontsize.js	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/layout_inc/fontsize.js	(from http://focuscarelink.co.uk/)
22:12:02	54047/54047	---M--	200	added ('OK')	application/x-javascript	etag:%223ddc9b0f4dcf1:7490c%22	http://focuscarelink.co.uk/layout_inc/jquery.cycle.js	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/layout_inc/jquery.cycle.js	(from http://focuscarelink.co.uk/)
22:12:04	3507/3507	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:11:40%20GMT	http://focuscarelink.co.uk/index.php	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/index-2.html	(from http://focuscarelink.co.uk/)
22:12:04	6152/6152	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:11:42%20GMT	http://focuscarelink.co.uk/page.php?id=1	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/page681a.html	(from http://focuscarelink.co.uk/)
22:12:04	9501/9501	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:11:42%20GMT	http://focuscarelink.co.uk/page.php?id=34	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/paged5e8.html	(from http://focuscarelink.co.uk/)
22:12:05	4392/4392	---M--	200	added ('OK')	image/png	etag:%22c9ed6a2f4dcf1:7490c%22	http://focuscarelink.co.uk/layout/logo.png	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/layout/logo.png	(from http://focuscarelink.co.uk/)
22:12:05	6009/6009	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:11:42%20GMT	http://focuscarelink.co.uk/page.php?id=2	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/page0b30.html	(from http://focuscarelink.co.uk/)
22:12:05	8745/8745	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:11:43%20GMT	http://focuscarelink.co.uk/page.php?id=3	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/paged708.html	(from http://focuscarelink.co.uk/)
22:12:06	6578/6578	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:11:43%20GMT	http://focuscarelink.co.uk/page.php?id=11	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/page0055.html	(from http://focuscarelink.co.uk/)
22:12:06	6965/6965	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:11:44%20GMT	http://focuscarelink.co.uk/contact.php	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/contact.html	(from http://focuscarelink.co.uk/)
22:12:06	10345/10345	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:11:44%20GMT	http://focuscarelink.co.uk/page.php?id=4	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/pagedcfd.html	(from http://focuscarelink.co.uk/)
22:12:06	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2013%20Jul%202021%2021:11:44%20GMT	http://focuscarelink.co.uk/staff/	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/staff/index.html	(from http://focuscarelink.co.uk/)
